"","소재지도로명주소","설치상세위치구분명","설비용량","설치면적","coef"
"82","경기도 광주시 초월읍 동막골길 140-8","옥상",140.12,735.25,5.24728803882387
"83","경기도 광주시 도척면 도척로 443-58","옥상",303.6,1412.76,4.65335968379447
"84","경기도 광주시 곤지암읍 구수동길 7","옥상",198,910.8,4.6
"85","경기도 오산시 가장산업동로 14-6 (가장동)","옥상",117,605,5.17094017094017
"86","경기도 오산시 양산로 43 (서랑동)","옥상",199,1025,5.15075376884422
"87","경기도 오산시 지곶중앙로 1-20 (지곶동)","옥상",393,4918,12.5139949109415
"88","경기도 수원시 권선구 산업로","옥상",100.8,1696,16.8253968253968
"89","경기도 수원시 권선구 서부로","옥상",173.16,1862,10.7530607530608
"90","경기도 수원시 권선구 산업로","옥상",143.18,2138,14.932253107976
"91","경기도 수원시 권선구 매송고색로","옥상",100.48,836,8.32006369426752
"92","경기도 수원시 장안구 광교산로","옥상",200,2000,10
"93","경기도 오산시 외삼미로5번길 50 (외삼미동)","옥상",148,800,5.40540540540541
"94","경기도 오산시 양산로 43 (서랑동)","옥상",181,912,5.03867403314917
"95","경기도 오산시 경기동로 41, 문화예술회관 (오산동)","옥상",196,1060,5.40816326530612
