"","소재지도로명주소","설치상세위치구분명","설비용량","설치면적","coef"
"473","경기도 수원시 영통구 신원로","옥상",19.24,360,18.7110187110187
"474","경기도 수원시 팔달구 중부대로","옥상",15,182,12.1333333333333
"475","경기도 수원시 장안구 만석로","옥상",70.2,3119,44.4301994301994
"476","경기도 수원시 영통구 봉영로","옥상",99.45,3980,40.0201106083459
"477","경기도 수원시 팔달구 권광로","옥상",28.875,261.75,9.06493506493507
"478","경기도 수원시 영통구 영통로","옥상",29.05,591,20.3442340791738
"479","경기도 수원시 권선구 세권로","옥상",12.48,125.2,10.0320512820513
"480","경기도 수원시 팔달구 효원로","옥상",29.9,492.4,16.4682274247492
"481","경기도 수원시 권선구 일월천로","옥상",19.92,352.9,17.7158634538153
"482","경기도 수원시 권선구 세화로","옥상",88.2,2963,33.59410430839
"483","경기도 수원시 영통구 동탄원천로","옥상",19.8,532.5,26.8939393939394
"484","경기도 수원시 영통구 동수원로","옥상",16.38,232.24,14.1782661782662
"485","경기도 수원시 영통구 인계로","옥상",19.8,142,7.17171717171717
"486","경기도 수원시 팔달구 아주로","옥상",18,302,16.7777777777778
"487","경기도 수원시 장안구 장안로","옥상",15.9,112.8,7.09433962264151
"488","경기도 수원시 권선구 산업로","옥상",95,2549,26.8315789473684
"489","경기도 수원시 팔달구 월드컵로","옥상",61.2,3488,56.9934640522876
"490","경기도 수원시 권선구 서부로","옥상",98.8,760,7.69230769230769
"491","경기도 수원시 팔달구 수성로","옥상",98.8,3103,31.4068825910931
"492","경기도 수원시 장안구 광교산로","옥상",17.68,111,6.27828054298643
"493","경기도 수원시 권선구 수원천로","옥상",55.44,366,6.6017316017316
"494","경기도 수원시 장안구 팔달로","옥상",30.15,482,15.9867330016584
"495","경기도 수원시 권선구 구운로","옥상",15.12,217,14.3518518518519
"496","경기도 수원시 팔달구 세지로","옥상",33.07,249.9,7.55669791351678
"497","경기도 수원시 권선구 율전로","옥상",12.06,379,31.4262023217247
"498","경기도 수원시 영통구 매영로","옥상",21.44,156,7.27611940298507
"499","경기도 수원시 권선구 산업로","옥상",89.1,1281,14.3771043771044
"500","경기도 수원시 권선구 산업로","옥상",56.1,1326,23.6363636363636
"501","경기도 수원시 영통구 신원로","옥상",59.86,390,6.51520213832275
"502","경기도 수원시 권선구 산업로","옥상",50,355,7.1
"503","경기도 수원시 장안구 서부로","옥상",19.04,120,6.30252100840336
"504","경기도 수원시 팔달구 중부대로","옥상",24.38,162,6.6447908121411
"505","경기도 수원시 팔달구 중부대로","옥상",19.5,131,6.71794871794872
"506","경기도 수원시 영통구 신원로","옥상",97.2,502,5.16460905349794
"507","경기도 수원시 권선구 매송고색로","옥상",51.98,361,6.94497883801462
"508","경기도 수원시 장안구 금당로","옥상",19.44,137,7.04732510288066
"509","경기도 수원시 권선구 수인로","옥상",97.85,592,6.05007664793051
"510","경기도 수원시 영통구 매영로","옥상",99.36,635,6.39090177133655
"511","경기도 수원시 장안구 덕영대로","옥상",44.16,320,7.2463768115942
"512","경기도 수원시 팔달구 경수대로","옥상",30,120,4
"513","경기도 수원시 장안구 수성로","옥상",29.64,190,6.41025641025641
"514","경기도 수원시 팔달구 인계로","옥상",24.5,150,6.12244897959184
"515","경기도 수원시 팔달구 경수대로","옥상",19.76,126.67,6.41042510121457
"516","경기도 수원시 장안구 정자로","옥상",19.5,127,6.51282051282051
"517","경기도 수원시 팔달구 매산로","옥상",19.5,148,7.58974358974359
"518","경기도 수원시 장안구 경수대로","옥상",40,278,6.95
"519","경기도 수원시 권선구 탑동로","옥상",19.5,124,6.35897435897436
"520","경기도 수원시 팔달구 동말로","옥상",42,273.84,6.52
"521","경기도 수원시 장안구 정자천로","옥상",39.9,567,14.2105263157895
"522","경기도 수원시 장안구 광교산로","옥상",29.76,760,25.5376344086021
"523","경기도 수원시 장안구 광교산로","옥상",24.8,173,6.9758064516129
"524","경기도 수원시 팔달구 매산로","옥상",18,160.78,8.93222222222222
"525","경기도 수원시 장안구 광교산로","옥상",60.48,435,7.19246031746032
"526","경기도 수원시 팔달구 경수대로","옥상",19.04,121,6.35504201680672
"527","경기도 수원시 권선구 곡반정로","옥상",99,1949,19.6868686868687
"528","경기도 수원시 팔달구동말로","옥상",12,170.46,14.205
"529","경기도 수원시 권선구 서부로","옥상",70,532,7.6
"530","경기도 수원시 팔달구 동말로","옥상",18,523.88,29.1044444444444
"531","경기도 군포시 농심로59번길 1(당정동)","옥상",99.6,530,5.32128514056225
"532","경기도 오산시 경기동로 33, 오산스포츠센터 (오산동)","옥상",99,586,5.91919191919192
"533","경기도 오산시 독산성로232번길 14-22 (지곶동)","옥상",31,179,5.7741935483871
"534","경기도 오산시 오산대역로132번길 14 (수청동)","옥상",25,140,5.6
"535","경기도 오산시 외삼미로 60-28 (외삼미동)","옥상",38,216,5.68421052631579
"536","경기도 오산시 경기대로658번길 64 (내삼미동)","옥상",30,171,5.7
"537","경기도 오산시 지곶길 63 (지곶동)","옥상",40,296,7.4
"538","경기도 오산시 두곡3길 25","옥상",45,237,5.26666666666667
"539","경기도 오산시 문시로 110-33 (외삼미동)","옥상",29,275,9.48275862068965
"540","경기도 오산시 독산성로362번길 31 (세교동)","옥상",15,96,6.4
"541","경기도 오산시 독산성로269번길 6-4 (지곶동)","옥상",43,258,6
