"","대분류","중분류","세분류","면적","비고","Univ_SGG1","Univ_SGG2","Univ_Name","AreaFactor","DensityFactor","CapacityFactor","Units","용량(kW)","연간발전량(kWh)"
"39","주차장","노외",NA,147.419591566,NA,"남양주시","진전읍","대경대학교",50,10,0.141,"ratio",7.3709795783,9104.33913593303
"40","주차장","노외",NA,111.923078664,NA,"남양주시","진전읍","대경대학교",50,10,0.141,"ratio",5.5961539332,6912.14549213131
"41","주차장","노외",NA,48.7732540533,NA,"남양주시","진전읍","대경대학교",50,10,0.141,"ratio",2.438662702665,3012.1386238237
"42","주차장","노외",NA,66.2219094386999,NA,"동두천시","평화로","동양대학교",50,10,0.1293,"ratio",3.31109547193499,3750.37188600567
"43","주차장","노외",NA,46.9364297531,NA,"동두천시","평화로","동양대학교",50,10,0.1293,"ratio",2.346821487655,2658.16960077921
"44","주차장","노외",NA,228.58271819,NA,"동두천시","평화로","동양대학교",50,10,0.1293,"ratio",11.4291359095,12945.4165123415
"45","주차장","노외",NA,81.1960014743,NA,"동두천시","평화로","동양대학교",50,10,0.1293,"ratio",4.059800073715,4598.40562989462
"46","주차장","노외",NA,143.089148641999,NA,"동두천시","평화로","동양대학교",50,10,0.1293,"ratio",7.15445743209995,8103.62499070179
"47","건물","평면",NA,1219.84137360999,NA,"동두천시","평화로","동양대학교",24.14,6.6,0.1293,"ratio",44.6166223620381,50535.820417565
"48","건물","평면",NA,722.829246525,NA,"동두천시","평화로","동양대학교",24.14,6.6,0.1293,"ratio",26.4380272895659,29945.507494018
"49","주차장","노외",NA,187.665960216,NA,"동두천시","평화로","동양대학교",50,10,0.1293,"ratio",9.3832980108,10628.1613912968
"50","건물","경사",NA,1640.66275724,NA,"동두천시","평화로","동양대학교",33,6.6,0.1293,"ratio",82.033137862,92916.3101958758
"51","건물","경사",NA,1249.7394652,NA,"동두천시","평화로","동양대학교",33,6.6,0.1293,"ratio",62.48697326,70776.9950284577
"52","주차장","노외",NA,221.87767765,NA,"동두천시","평화로","동양대학교",50,10,0.1293,"ratio",11.0938838825,12565.6872694235
"53","주차장","노외",NA,152.627243182,NA,"동두천시","평화로","동양대학교",50,10,0.1293,"ratio",7.6313621591,8643.79971402348
"54","주차장","노외",NA,209.551912977,NA,"동두천시","평화로","동양대학교",50,10,0.1293,"ratio",10.47759564885,11867.6373083916
"55","주차장","노외",NA,107.522801478999,NA,"동두천시","평화로","동양대학교",50,10,0.1293,"ratio",5.37614007394995,6089.38182528074
"56","건물","경사",NA,857.531506658,NA,"동두천시","평화로","동양대학교",33,6.6,0.1293,"ratio",42.8765753329,48564.9248291652
"57","건물","경사",NA,1022.77531665,NA,"동두천시","평화로","동양대학교",33,6.6,0.1293,"ratio",51.1387658325,57923.2436179661
"58","주차장","노외",NA,203.621979095999,NA,"동두천시","평화로","동양대학교",50,10,0.1293,"ratio",10.1810989547999,11531.8049909353
"59","건물","경사",NA,467.389763644,NA,"동두천시","평화로","동양대학교",33,6.6,0.1293,"ratio",23.3694881822,26469.8714403561
"60","건물","경사",NA,1260.50630391999,NA,"동두천시","평화로","동양대학교",33,6.6,0.1293,"ratio",63.0253151959995,71386.7577124224
"61","건물","경사",NA,677.795739001,NA,"동두천시","평화로","동양대학교",33,6.6,0.1293,"ratio",33.88978695005,38385.8772051392
"62","건물","경사",NA,1145.24003754999,NA,"동두천시","평화로","동양대학교",33,6.6,0.1293,"ratio",57.2620018774995,64858.8371425836
